service_id,family,service_name,tier,dev_price_da,hosting_price_da_year,maintenance_price_da_year,margin_rate,recommended_segment,total_requests,converted_requests,total_revenue,total_margin,conversion_rate
S001,Branding,Branding Basic,Basic,73000,0,0,0.65,micro,0.0,0.0,0.0,0.0,0.0
S002,Branding,Branding Pro,Pro,113000,0,0,0.65,sme,612.0,36.0,4068000.0,2644200.0,0.0588235294117647
S003,Branding,Branding Entreprise,Entreprise,183000,0,0,0.65,corporate,0.0,0.0,0.0,0.0,0.0
S004,Marketing,Strategie Marketing,Standard,119000,0,0,0.7,sme,1189.0,7.0,833000.0,583100.0,0.0058873002523128
S005,Web,Landing Page,Basic,28000,8000,30000,0.55,micro,301.0,11.0,308000.0,169400.00000000003,0.0365448504983388
S006,Web,Site Vitrine,Pro,56000,10000,60000,0.55,sme,395.0,29.0,1624000.0,893200.0000000001,0.0734177215189873
S007,Web,Corporate Website,Entreprise,120000,14000,60000,0.55,corporate,142.0,7.0,840000.0,462000.0,0.0492957746478873
S008,Web,E-Commerce Website,Pro,160000,10000,60000,0.55,ecommerce,0.0,0.0,0.0,0.0,0.0
S009,Web,E-Learning Platform,Pro,160000,10000,60000,0.55,education,58.0,4.0,640000.0,352000.0,0.0689655172413793
S010,Custom,Medical Center Management,Pro,520000,45000,120000,0.45,clinic,19.0,2.0,1040000.0,468000.0,0.1052631578947368
S011,Custom,Marketplace Full Package,Pro,1260000,65000,120000,0.45,marketplace,0.0,0.0,0.0,0.0,0.0
S012,Mobile,Appointment Booking App,Basic,200000,25000,60000,0.45,service_provider,0.0,0.0,0.0,0.0,0.0
